"id","login","pressed_key","time_hold","time_to_next"
"39930","Kinga","71","104","136"
"39931","Kinga","32","127","417"
"39932","Kinga","69","80.0","144"
"39933","Kinga","88","112","168"
"39934","Kinga","80","96.0","47"
"39935","Kinga","69","89.0","88"
"39936","Kinga","78","64.0","95"
"39937","Kinga","68","105","112"
"39938","Kinga","73","96.0","336"
"39939","Kinga","84","88.0","0"
"39940","Kinga","73","63.0","97"
"39941","Kinga","79","72.0","103"
"39942","Kinga","78","48.0","185"
"39943","Kinga","190","48.0","136"
"39944","Kinga","32","63.0","185"
"39945","Kinga","65","80.0","72"
"39946","Kinga","76","64.0","104"
"39947","Kinga","76","72.0","103"
"39948","Kinga","32","88.0","48"
"39949","Kinga","83","97.0","17"
"39950","Kinga","72","71.0","47"
"39951","Kinga","69","105","31"
"39952","Kinga","32","72.0","80"
"39953","Kinga","87","121","144"
"39954","Kinga","65","24.0","24"
"39955","Kinga","78","55.0","97"
"39956","Kinga","84","160","18"
"39957","Kinga","69","102","168"
"39958","Kinga","68","80.0","96"
"39959","Kinga","32","63.0","64"
"39960","Kinga","87","145","18"
"39961","Kinga","65","150","20"
"39962","Kinga","83","99.0","80"
"39963","Kinga","32","112","65"
"39964","Kinga","84","88.0","31"
"39965","Kinga","72","89.0","80"
"39966","Kinga","87","16.0","136"
"39967","Kinga","69","16.0","16"
"39968","Kinga","32","33.0","102"
"39969","Kinga","32","113","528"
"39970","Kinga","65","96.0","336"
"39971","Kinga","78","72.0","96"
"39972","Kinga","83","96.0","408"
"39973","Kinga","87","56.0","56"
"39974","Kinga","69","112","128"
"39975","Kinga","82","72.0","184"
"39976","Kinga","32","79.0","601"
"39977","Kinga","188","72.0","112"
"39978","Kinga","32","64.0","320"
"39979","Kinga","66","8.00","8"
"39980","Kinga","85","128","31"
"39981","Kinga","84","73.0","71"
"39982","Kinga","32","64.0","313"
"39983","Kinga","68","64.0","72"
"39984","Kinga","72","96.0","208"
"39985","Kinga","69","31.0","31"
"39986","Kinga","32","63.0","120"
"39987","Kinga","72","96.0","24"
"39988","Kinga","65","96.0","129"
"39989","Kinga","68","64.0","120"
"39990","Kinga","32","47.0","136"
"39991","Kinga","78","48.0","64"
"39992","Kinga","79","97.0","160"
"39993","Kinga","32","24.0","95"
"39994","Kinga","73","104","57"
"39995","Kinga","68","72.0","120"
"39996","Kinga","69","112","128"
"39997","Kinga","65","96.0","136"
"39998","Kinga","32","79.0","176"
"39999","Kinga","72","81.0","103"
"40000","Kinga","79","112","409"
"40001","Kinga","87","104","128"
"40002","Kinga","32","72.0","143"
"40003","Kinga","77","88.0","72"
"40004","Kinga","85","113","31"
"40005","Kinga","67","89.0","24"
"40006","Kinga","74","80.0","104"
"40007","Kinga","32","87.0","24"
"40008","Kinga","83","136","26"
"40009","Kinga","74","54.0","41"
"40010","Kinga","69","112","104"
"40011","Kinga","32","47.0","160"
"40012","Kinga","87","105","25"
"40013","Kinga","79","94.0","41"
"40014","Kinga","85","72.0","128"
"40015","Kinga","76","104","25"
"40016","Kinga","68","79.0","56"
"40017","Kinga","32","63.0","224"
"40018","Kinga","65","72.0","233"
"40019","Kinga","84","104","39"
"40020","Kinga","69","105","0"
"40021","Kinga","32","48.0","111"
"40022","Kinga","73","129","34"
"40023","Kinga","84","94.0","64"
"40024","Kinga","190","63.0","136"
"40025","Kinga","32","72.0","136"
"40026","Kinga","16","113","27"
"40027","Kinga","84","61.0","47"
"40028","Kinga","72","89.0","27"
"40029","Kinga","69","101","39"
"40030","Kinga","32","56.0","144"
"40031","Kinga","80","33.0","33"
"40032","Kinga","69","120","88"
"40033","Kinga","82","113","39"
"40034","Kinga","32","88.0","241"
"40035","Kinga","83","119","26"
"40036","Kinga","72","54.0","392"
"40037","Kinga","79","88.0","121"
"40038","Kinga","80","104","160"
"40039","Kinga","32","103","121"
"40040","Kinga","83","88.0","208"
"40041","Kinga","84","7.00","7"
"40042","Kinga","79","87.0","128"
"40043","Kinga","67","113","33"
"40044","Kinga","75","70.0","505"
"40045","Kinga","83","72.0","176"
"40046","Kinga","32","71.0","56"
"40047","Kinga","69","104","625"
"40048","Kinga","86","96.0","71"
"40049","Kinga","69","105","103"
"40050","Kinga","82","88.0","113"
"40051","Kinga","89","88.0","176"
"40052","Kinga","84","72.0","88"
"40053","Kinga","72","55.0","72"
"40054","Kinga","73","97.0","96"
"40055","Kinga","78","87.0","72"
"40056","Kinga","71","112","81"
"40057","Kinga","32","167","401"
"40058","Kinga","89","87.0","33"
"40059","Kinga","79","103","33"
"40060","Kinga","85","87.0","104"
"40061","Kinga","32","72.0","88"
"40062","Kinga","78","64.0","41"
"40063","Kinga","69","63.0","96"
"40064","Kinga","69","64.0","104"
"40065","Kinga","68","96.0","89"
"40066","Kinga","32","95.0","328"
"40067","Kinga","84","64.0","33"
"40068","Kinga","79","88.0","111"
"40069","Kinga","32","64.0","80"
"40070","Kinga","75","72.0","49"
"40071","Kinga","69","71.0","105"
"40072","Kinga","69","71.0","136"
"40073","Kinga","80","96.0","113"
"40074","Kinga","32","119","360"
"40075","Kinga","89","89.0","128"
"40076","Kinga","79","7.00","7"
"40077","Kinga","85","119","113"
"40078","Kinga","82","111","80"
"40079","Kinga","32","80.0","144"
"40080","Kinga","65","96.0","48"
"40081","Kinga","78","72.0","72"
"40082","Kinga","65","81.0","144"
"40083","Kinga","67","119","19"
"40084","Kinga","79","77.0","80"
"40085","Kinga","78","88.0","27"
"40086","Kinga","68","102","200"
"40087","Kinga","65","15.0","15"
"40088","Kinga","32","55.0","208"
"40089","Kinga","74","88.0","313"
"40090","Kinga","8","79.0","40"
"40091","Kinga","72","81.0","128"
"40092","Kinga","65","95.0","34"
"40093","Kinga","80","30.0","80"
"40094","Kinga","80","64.0","121"
"40095","Kinga","89","71.0","217"
"40096","Kinga","190","63.0","120"
"40097","Kinga","32","64.0","273"
"40098","Kinga","16","88.0","88"
"40099","Kinga","69","124","268"
"40100","Kinga","72","71.0","193"
"40101","Kinga","69","127","104"
"40102","Kinga","32","56.0","449"
"40103","Kinga","71","103","38"
"40104","Kinga","82","66.0","64"
"40105","Kinga","85","88.0","897"
"40106","Kinga","70","71.0","177"
